,code,exchange
559,002042,深交所
560,002043,深交所
561,002044,深交所
562,002045,深交所
563,002046,深交所
564,002047,深交所
565,002048,深交所
566,002049,深交所
567,002050,深交所
568,002051,深交所
569,002052,深交所
570,002053,深交所
571,002054,深交所
572,002055,深交所
573,002056,深交所
574,002057,深交所
575,002058,深交所
576,002059,深交所
577,002060,深交所
578,002061,深交所
579,002062,深交所
580,002063,深交所
581,002064,深交所
582,002065,深交所
583,002066,深交所
584,002067,深交所
585,002068,深交所
586,002069,深交所
587,002072,深交所
588,002073,深交所
589,002074,深交所
590,002075,深交所
591,002076,深交所
592,002077,深交所
593,002078,深交所
594,002079,深交所
595,002080,深交所
596,002081,深交所
597,002082,深交所
598,002083,深交所
599,002084,深交所
600,002085,深交所
601,002086,深交所
602,002088,深交所
603,002090,深交所
604,002091,深交所
605,002092,深交所
606,002093,深交所
607,002094,深交所
608,002095,深交所
609,002096,深交所
610,002097,深交所
611,002098,深交所
612,002099,深交所
613,002100,深交所
614,002101,深交所
615,002102,深交所
616,002103,深交所
617,002104,深交所
618,002105,深交所
619,002106,深交所
620,002107,深交所
621,002108,深交所
622,002109,深交所
623,002110,深交所
624,002111,深交所
625,002112,深交所
626,002114,深交所
627,002115,深交所
628,002116,深交所
629,002117,深交所
630,002119,深交所
631,002120,深交所
632,002121,深交所
633,002122,深交所
634,002123,深交所
635,002124,深交所
636,002125,深交所
637,002126,深交所
638,002127,深交所
639,002128,深交所
640,002129,深交所
641,002130,深交所
642,002131,深交所
643,002132,深交所
644,002133,深交所
645,002134,深交所
646,002135,深交所
647,002136,深交所
648,002137,深交所
649,002138,深交所
650,002139,深交所
651,002140,深交所
652,002141,深交所
653,002142,深交所
654,002144,深交所
655,002145,深交所
656,002146,深交所
657,002148,深交所
658,002149,深交所
659,002150,深交所
660,002151,深交所
661,002152,深交所
662,002153,深交所
663,002154,深交所
664,002155,深交所
665,002156,深交所
666,002157,深交所
667,002158,深交所
668,002159,深交所
669,002160,深交所
670,002161,深交所
671,002162,深交所
672,002163,深交所
673,002164,深交所
674,002165,深交所
675,002166,深交所
676,002167,深交所
677,002168,深交所
678,002169,深交所
679,002170,深交所
680,002171,深交所
681,002172,深交所
682,002173,深交所
683,002174,深交所
684,002175,深交所
685,002176,深交所
686,002177,深交所
687,002178,深交所
688,002179,深交所
689,002180,深交所
690,002181,深交所
691,002182,深交所
692,002183,深交所
693,002184,深交所
694,002185,深交所
695,002186,深交所
696,002187,深交所
697,002188,深交所
698,002189,深交所
699,002190,深交所
700,002191,深交所
701,002192,深交所
702,002193,深交所
703,002194,深交所
704,002195,深交所
705,002196,深交所
706,002197,深交所
707,002198,深交所
708,002199,深交所
